path_names	UP/DOWN	statistic	p.value	FDRp.value	Fold_Change	logFC
Pyrimidine deprivation: IFNA1	UP	0.824258750683949	0.256677471374834	0.459484362337666	166.331991512331	7.37792186626151
Pyrimidine deprivation: DNA	DOWN	-11.9845261057491	1	1	1	0
Nsp9 protein interactions: NEMF	UP	2.34735679280564	0.0189330812916254	0.0540383438851263	1.095584707451	0.131701033661782
Nsp9 protein interactions: SIRT5	UP	0.0139354954718013	0.989291336599031	1	0.999988541687492	-1.6530945341014e-05
Nsp9 protein interactions: PEG10	DOWN	-2.03303395049723	0.0234225250026759	0.0617502931888729	0.628771475837121	-0.669392323540426
Nsp9 protein interactions: IMPDH2	DOWN	-4.12955182481044	3.63652562515379e-05	0.000310174244498412	0.697708979037393	-0.519302694627222
Nsp9 protein interactions: ZNF250	UP	1.81987248272486	0.0683188972496115	0.152403693864518	1.29402891285365	0.37186985223349
Nsp9 protein interactions: COPS2,COPS4,COPS5	DOWN	-2.43509880133179	0.0141119406850537	0.0456567966594964	0.683719868571308	-0.548522744928205
Nsp9 protein interactions: RNArecognition	DOWN	-11.9845261057491	1	1	1	0
Nsp9 protein interactions: ELN,FBN1,FBLN2	DOWN	-0.363871270652589	0.639578387379306	0.799472984224132	0.252606270079945	-1.98503764538591
Nsp9 protein interactions: FBN1,FBLN2,FBLN5	DOWN	-0.49651654236566	0.520303549711699	0.707835919607603	0.43011078267823	-1.21721979545457
Nsp9 protein interactions: CYB5R3	DOWN	-5.56800463517748	2.58396715169433e-08	5.35250338565254e-07	0.747274202211761	-0.420290377195493
Nsp9 protein interactions: Nsp7812	DOWN	-11.9845261057491	1	1	1	0
Nsp9 protein interactions: TCF12	UP	2.52800210447713	0.0114882018526541	0.0396616492532107	1.04293655511842	0.0606513971673233
Nsp9 protein interactions: ZNF318	UP	1.16593645447404	0.243845001448569	0.445133395508216	1.02468899181873	0.0351860970030029
Nsp9 protein interactions: LARP4B	UP	2.39226005599255	0.0167684100038197	0.0506545718865388	1.03030015209495	0.0430646916384485
Nsp9 protein interactions: SBNO1	UP	2.64155058609922	0.00826528354711491	0.0317883085038137	1.05721961121568	0.0802750920493582
Nsp9 protein interactions: ZC3H7A	UP	2.33135677948616	0.0197519463855979	0.0540383438851263	1.16924785688723	0.225580784445545
Nsp9 protein interactions: BCKDK	DOWN	-0.689032831661285	0.489853861756973	0.703255544106545	0.914888464925387	-0.12833222133446
Nsp9 protein interactions: MYCBP2	UP	6.57445708591869	4.89975760267462e-11	1.61863452570435e-09	1.25871218486609	0.33194843640433
Nsp9 protein interactions: RBM41	UP	1.65006588975365	0.0988348815231189	0.213896385385854	1.20755174084396	0.272085006584657
Nsp9 protein interactions: AATF	UP	0.855742647860982	0.392378608062551	0.605264874139041	1.04932568806239	0.0694625288459838
Nsp9 protein interactions: MEPCE,LARP7	DOWN	-2.44748590841784	0.0141693506874299	0.0456567966594964	0.80598968110071	-0.311166726506489
Nsp9 protein interactions: SEPSECS	UP	3.65264820199769	0.000254933431705947	0.00147861390389449	1.66447716534523	0.735069078547164
Nsp9 protein interactions: DDX10	UP	2.63793767986579	0.00833072912513739	0.0317883085038137	1.2770536015923	0.352819080348758
Nsp9 protein interactions: MRPS5,MRPS2	DOWN	-3.49935775180787	0.00041049854208384	0.0021257960215056	0.665991234365759	-0.586424905909552
Nsp9 protein interactions: MPHOSPH10	DOWN	-0.534193993085715	0.593344811832906	0.754692962419047	0.933424487807883	-0.0993947788863759
Nsp9 protein interactions: NARS2	UP	0.325677690470615	0.742632702457352	0.897040325684342	1.1112201430212	0.152144656315863
Nsp9 protein interactions: EXOSC2,EXOSC3,EXOSC5	DOWN	-1.58709809539959	0.0533462963211462	0.124761499460745	0.509414948243343	-0.973086800292676
Nsp9 protein interactions: FOCAD	UP	1.60722714441441	0.108110834427583	0.2305304557647	1.07638788203663	0.106198054336913
Nsp9 protein interactions: NGDN	UP	0.720516728838317	0.470979909779941	0.689819059778702	1.06894268832533	0.0961845046156195
Nsp9 protein interactions: NspComp	DOWN	-11.9845261057491	1	1	1	0
Nsp9 protein interactions: SRP54,SRP19	UP	0.803613572207206	0.421595498126479	0.642096049589104	1.01642114161409	0.0234982889499761
Nsp9 protein interactions: NOL10	UP	1.11019447258683	0.266954271727073	0.472053285371043	1.11713497872595	0.159803511133391
Nsp9 protein interactions: CCDC86	DOWN	-2.53367952855824	0.00968342511870672	0.0342462595661579	0.704643874248763	-0.505033788674282
Nsp9 protein interactions: POLR2A,GTF2F2,POLR2G	DOWN	-2.99458313805152	0.00208102140536438	0.00942962824305734	0.553577351841282	-0.853143174771561
Nsp9 protein interactions: GTF2F2	UP	0.609548894525826	0.541860600527199	0.707835919607603	1.1057968983643	0.145086430211073
Nsp9 protein interactions: TAT,GTF2F2	DOWN	-1.09316220034352	0.245590838901085	0.445133395508216	1.58423765836234	0.663788776592954
Nsp9 protein interactions: COPS6,EDN1	DOWN	-3.00387346836605	0.00096701320192979	0.00452312626709095	0.426283719832759	-1.23011413638363
Nsp9 protein interactions: SCARB1	UP	0.77367806341593	0.435721755332292	0.648813374244162	1.20203720607704	0.265481551782964
Nsp9 protein interactions: COMT	DOWN	-6.53523124681288	5.58149836449776e-11	1.61863452570435e-09	0.413098785620041	-1.27544127575486
Nsp9 protein interactions: AIFM1,SPART	DOWN	-0.0769032898258663	0.939043422094743	1	0.989406644808545	-0.0153645062861725
Nsp9 protein interactions: EDNRA,EDN1	UP	0.50374235483252	0.502819355577585	0.707835919607603	169.789073431909	7.40759980877866
Nsp9 protein interactions: NUP54,NUP58,NUP62	DOWN	-0.62245213107379	0.533649692512692	0.707835919607603	0.952414529904639	-0.0703384645547676
Nsp9 protein interactions: FBLN5,LOXL1	DOWN	-3.21548654775266	0.000535294264258926	0.00267647132129463	0.335278270261484	-1.57656911131387
Nsp9 protein interactions: SPART	DOWN	-11.9845261057491	1	1	1	0
Nsp9 protein interactions: MAT2B	UP	1.0286460176037	0.303888259674071	0.512369740148142	1.06365749312405	0.0890336653876032
Nsp9 protein interactions: MIB1	DOWN	-0.249806659568586	0.803135979493646	0.931637736212629	0.967144067333684	-0.0481972830067429
Nsp9 protein interactions: NEK9	UP	2.09600174485129	0.036127284528433	0.0887873941800471	1.10091211981489	0.138699310530446
Nsp9 protein interactions: ZNF503	DOWN	-2.46503431012307	0.00936000835429666	0.0339300302843254	0.631441624311339	-0.663278729377051
Nsp9 protein interactions: DCAF7	UP	5.61910145190742	1.92521186031771e-08	4.65259532910114e-07	1.22514347038277	0.292950705872613
Nsp9 protein interactions: EIF4H	DOWN	-7.55510306356396	4.20075740075282e-14	6.0910982310916e-12	0.629239396610478	-0.66831909432569
Nsp9 protein interactions: NEK7,NEK9,NEK6	UP	2.01496941933008	0.043953348591922	0.104479271243093	1.20403321444037	0.267875190808132
Nsp9 protein interactions: CA12	UP	1.56077549284174	0.118683066939694	0.245843495803653	1.12436459823293	0.169109934820004
Nsp9 protein interactions: AP2M1	DOWN	-4.55793927820285	5.17820567581249e-06	6.25699852494009e-05	0.804362239296501	-0.314082738826359
Nsp9 protein interactions: AP2A2	DOWN	-2.73600227763032	0.00621180059576595	0.0264915025407665	0.801995402807896	-0.318334127989286
Nsp9 protein interactions: GFER	DOWN	-4.10013244548108	2.18172286318192e-05	0.000197718634475862	0.441459284519815	-1.1796477096298
Nsp9 protein interactions: ERGIC1	DOWN	-1.04361377199934	0.296902688996014	0.507644060276529	0.934272792308901	-0.0980842401883011
Nsp9 protein interactions: RHOA	UP	1.86219509860218	0.0626473959568566	0.141935506464753	1.00358009125437	0.00515575635645118
Nsp9 protein interactions: RAB7A	UP	2.173937293601	0.0297483652593749	0.0770270171894528	1.04125651178297	0.0583255179078633
Nsp9 protein interactions: RALA	UP	2.70451838045328	0.00684644428614705	0.0283638406140378	1.30799737035031	0.387359640387691
Nsp9 protein interactions: ACSL3	DOWN	-1.22219456582316	0.22182131719199	0.417715467439462	0.925957489999727	-0.110982132907622
Nsp9 protein interactions: SRP72	DOWN	-0.302451864684279	0.762700383585355	0.906488160818659	0.971515403201445	-0.0416912252258175
Nsp9 protein interactions: MAT1A,MAT2A,MAT2B	DOWN	-2.35974389989168	0.0128650145671069	0.0433820258658257	0.668681352095714	-0.580609210280021
Nsp9 protein interactions: MIB1,DLL1	DOWN	-4.82787498678626	8.54008416690492e-08	1.37590244911246e-06	0.131157195143271	-2.93063114040851
Nsp9 protein interactions: PCSK1,INS	UP	0.46400038626479	0.509032972538532	0.707835919607603	25.3058749412136	4.66140045074075
Nsp9 protein interactions: MAT2B,PCSK1	UP	0.915097535981617	0.276226298289071	0.482564015083317	2.71374879924874	1.44028718249191
Nsp9 protein interactions: PTGS2	UP	0.197677583914811	0.843691713376355	0.970915066980726	1.05053315008389	0.0711216876721228
Nsp9 protein interactions: ZNF503,DCAF7	DOWN	-2.27045350297977	0.0166957685888947	0.0506545718865388	0.745741181975286	-0.423253081389213
Nsp9 protein interactions: UBQLN4,EDN1	DOWN	-2.37471165428732	0.00827798812861597	0.0317883085038137	0.92444354098549	-0.11334288302156
Nsp9 protein interactions: BAG6,EDN1	DOWN	-2.68129255466695	0.00343635350325306	0.0150991290294453	0.806602109150805	-0.310070916694493
Orf3a protein interactions: IL1B	UP	2.34580840441988	0.0189894113102914	0.0540383438851263	1.30369053233089	0.382601445904752
Orf3a protein interactions: IFNB1	UP	0.548645618019435	0.438508349489158	0.648813374244162	7.37124168938455	2.88190766249939
Orf3a protein interactions: HMOX1,ALG5,ARL6IP6	DOWN	-3.45806739485439	0.000115464852497606	0.000727930591832733	0.244798101744901	-2.03033572400482
Orf3a protein interactions: S	DOWN	-11.9845261057491	1	1	1	0
NLRP3 inflammasome activation: IL18	DOWN	-1.73316273312254	0.0813499852457455	0.178723452433835	0.827038691714117	-0.273973269676633
NLRP3 inflammasome activation: IL1B	UP	1.39458180610396	0.161264341818521	0.320319583064185	2.18991985515125	1.13087807225038
Interferon lambda pathway: antiviral proteins	DOWN	-11.9845261057491	1	1	1	0
Interferon lambda pathway: IFNs	DOWN	-11.9845261057491	1	1	1	0
Interferon lambda pathway: STAT1,STAT2,STAT3	UP	7.16232854304393	7.95858438463082e-13	5.76997367885734e-11	2.01335979534361	1.00960501059746
Interferon lambda pathway: IFNL1,IFNL2,IFNL3	UP	0.320000266389511	0.650313442047263	0.805944009374813	0.569596309142724	-0.811988296895446
Interferon lambda pathway: IFNL1,IFNL2,IFNL3	UP	0.445419725635722	0.526209675771461	0.707835919607603	0.178203899410519	-2.48839918901143
Interferon lambda pathway: inhibited 80S ribosome	DOWN	-11.9845261057491	1	1	1	0
Interferon lambda pathway: inhibited ribosomal 40S SU	DOWN	-11.9845261057491	1	1	1	0
Interferon lambda pathway: 5cap-viral-RNA	DOWN	-11.9845261057491	1	1	1	0
Coagulation pathway: Small peptide	DOWN	-0.267355061273817	0.738286236201101	0.897040325684342	1.32829089481106	0.4095711305282
Coagulation pathway: F8,F9	UP	0.695742514666226	0.334902564601793	0.539565242969555	12258.5778829738	13.5815040013037
Coagulation pathway: D-dimer	DOWN	-11.9845261057491	1	1	1	0
Coagulation pathway: C7,C8A,C8G	UP	0.46038748003136	0.512357351826591	0.707835919607603	1.54489565202403	0.627509396452345
Coagulation pathway: SERPINC1,F2	UP	0.508903649451706	0.485406807550239	0.703255544106545	1525.11214253603	10.5746996135883
Coagulation pathway: GP6,VWF,ITGA2	DOWN	-1.43122699790018	0.116370177445613	0.244546025066867	0.935189264965233	-0.09666972561479
Coagulation pathway: FGA,FGB,FGG	UP	0.562581113491236	0.425111867314166	0.642096049589104	44.1063510406252	5.46291450475413
Coagulation pathway: SERPINE1,PLAT	DOWN	-1.27948493609612	0.145904274107018	0.297973517542502	0.959571291609552	-0.0595380990651927
Coagulation pathway: MAS1	UP	3.85135804483634	8.13833104993234e-05	0.00058806274261483	12.8406113879036	3.68264199090657
Coagulation pathway: C4A	DOWN	-0.512516555685136	0.603310394408315	0.760695714688745	1.17547295260925	0.233241343256836
Coagulation pathway: Bradykinin(1-5)	DOWN	-0.199225972300566	0.786561626038575	0.927247445330028	0.206384835970878	-2.27659112157435
Coagulation pathway: NR3C2	DOWN	-0.694710255742389	0.355307891891368	0.566149937629103	0.213528209641019	-2.22750141510837
HMOX1 pathway: IL1B	UP	1.97987261591962	0.0378478677973333	0.0914656805102221	3.34219291713562	1.7407950106469
HMOX1 pathway: IL18	UP	0.950710468853998	0.318511568843782	0.519719875208682	3.41750813165599	1.77294477059968
HMOX1 pathway: MEFV,PYCARD	DOWN	-0.138322695794176	0.889050979019329	1	0.884486212521537	-0.1770884407018
HMOX1 pathway: MEFV,PSTPIP1	UP	2.05884042359316	0.0337967811842202	0.0859742679247708	1.97128160414041	0.979133884893344
HMOX1 pathway: FTL,FTH1	DOWN	-0.436645524783106	0.662742850763939	0.814387401362468	0.963087270163559	-0.0542615610682593
HMOX1 pathway: RBX1,KEAP1,CUL3	DOWN	-3.87458387062267	9.60681531947033e-05	0.000633176464237817	0.27273926106157	-1.87440570243831
Kynurenine synthesis pathway: AHR	UP	4.28284227500026	1.84949531736722e-05	0.000181471393926749	1.17709275756228	0.235228012476839
